集計開始,集計終了,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),降水量の合計(mm),平均現地気圧(hPa),平均風速(m/s),日照時間(時間)
2020/1/5,2020/1/11,8.9,12.2,6.3,24,1015.7,3.9,32.1
2020/1/12,2020/1/18,7.9,10.4,5.7,2,1014.5,3.2,27.7
2020/1/19,2020/1/25,9,11.7,6.3,29,1019.5,3.6,18.2
2020/1/26,2020/2/1,9.2,12.7,6.6,7.5,1010.5,5.7,28.1
2020/2/2,2020/2/8,6.2,9.7,3.1,0,1019.6,3.2,44.2
2020/2/9,2020/2/15,9.2,12.9,5.7,11,1018.4,3.3,33.3
2020/2/16,2020/2/22,8.8,12.5,5.6,27,1018.1,4.3,40.9
2020/2/23,2020/2/29,8.8,11.8,6.1,17,1018,3.3,27.3
2020/3/1,2020/3/7,9.6,12.9,6.6,19,1015.6,3.4,47.4
2020/3/8,2020/3/14,11.6,14.9,8.4,30.5,1009.6,3.4,36.7
2020/3/15,2020/3/21,11,15.5,6.9,5.5,1009.6,3.6,68.9
2020/3/22,2020/3/28,13.2,17.1,9.6,37,1013.4,3.1,42.3
2020/3/29,2020/4/4,12.7,16.3,9.5,29.5,1012.9,4.5,32.4
2020/4/5,2020/4/11,11.9,15.8,8.2,0,1014.6,3.6,69.9
2020/4/12,2020/4/18,13.4,16.9,10,59.5,1007.3,5,43
2020/4/19,2020/4/25,13.9,17.4,10.8,18.5,1009.2,4.3,41.7
2020/4/26,2020/5/2,17.4,21.1,14.1,0,1014.1,3.2,71.6
2020/5/3,2020/5/9,19.5,23.5,16.3,4,1010.2,3.4,40.7
2020/5/10,2020/5/16,20.2,24,16.8,21,1007.4,3.6,46.4
2020/5/17,2020/5/23,20.5,24.6,17.2,55.5,1004.6,3.9,49.8
2020/5/24,2020/5/30,22.2,25.7,18.9,5,1007.9,3.2,60
2020/5/31,2020/6/6,23.5,26.8,20.8,5,1005.3,3.1,39.8
2020/6/7,2020/6/13,24.1,27.3,21.7,78,1008,3.2,41.9
2020/6/14,2020/6/20,23.6,27.1,20.9,82,1001.9,3.8,33.9
2020/6/21,2020/6/27,25.5,28.8,22.7,2.5,1004.6,3.7,43.6
2020/6/28,2020/7/4,24,26.6,21.4,160.5,1002.4,4,21.2
2020/7/5,2020/7/11,25,27.3,23.2,240,1003.8,3.3,8.1
2020/7/12,2020/7/18,24.7,27.6,22.6,95.5,1002.9,4,22.8
2020/7/19,2020/7/25,27.3,30.2,25.3,131.5,1006.6,3.1,32.2
2020/7/26,2020/8/1,27.2,30.7,24.7,40,1009.5,2.9,31.1
2020/8/2,2020/8/8,28.7,31.8,26.6,0,1009.5,3.1,49.7
2020/8/9,2020/8/15,30.3,34,27.8,0,1008.7,3.5,66.8
2020/8/16,2020/8/22,31.1,35.6,28.2,1.5,1007.8,2.9,81
2020/8/23,2020/8/29,30.1,34.1,27.5,5,1005.8,3.2,75.7
2020/8/30,2020/9/5,29.8,34.3,27.1,48,1006.8,3.2,51.1
2020/9/6,2020/9/12,27.3,30.4,25.1,18,1007.8,4.3,30.9
2020/9/13,2020/9/19,25.9,28.6,23.5,4,1008.7,3.2,27.5
2020/9/20,2020/9/26,23.9,27.1,21.3,82,1007.8,3.9,23.7
2020/9/27,2020/10/3,22.7,26.3,19.4,4,1008.7,3,47.9
2020/10/4,2020/10/10,20.8,24.2,18.2,99.5,1012.5,5.4,17.4
2020/10/11,2020/10/17,20.3,24,17.9,19,1013.3,2.8,46.1
2020/10/18,2020/10/24,17.6,20.9,14.2,34,1013.8,4,37.2
2020/10/25,2020/10/31,16.1,19.8,12.6,0,1016.7,2.9,57.8
2020/11/1,2020/11/7,15.8,19,12.1,43.5,1016.7,3.5,33.6
2020/11/8,2020/11/14,14.2,17.8,11.1,0,1020.8,3.3,42.8
2020/11/15,2020/11/21,18,21.4,14,4.5,1018.2,3.2,50.4
2020/11/22,2020/11/28,13.5,16.6,10.2,0.5,1017.4,3.1,37.8
2020/11/29,2020/12/5,11.2,15.1,7.9,0,1021.3,2.9,52.5
2020/12/6,2020/12/12,11.7,15.2,8.4,0,1016.8,2.6,50.1
2020/12/13,2020/12/19,6.5,9.9,3.6,0,1015.9,4.9,31.9
2020/12/20,2020/12/26,7.4,11,4.2,2,1018.4,3.4,44.8
2020/12/27,2021/1/2,6.6,10,3.3,11.5,1014.6,4.1,39.8
