期間（週次）,2019年同週比 [%]
2020年1月第1週,4.722278153
2020年1月第2週,6.047674033
2020年1月第3週,6.247440295
2020年1月第4週,6.108740033
2020年1月第5週,4.831052216
2020年2月第1週,-1.680540869
2020年2月第2週,-3.243109292
2020年2月第3週,-1.707323324
2020年2月第4週,-11.200511505
2020年3月第1週,-11.166008107
2020年3月第2週,-12.780571765
2020年3月第3週,-10.293120231
2020年3月第4週,-14.647798508
2020年4月第1週,-15.723910533
2020年4月第2週,-31.694325622
2020年4月第3週,-34.948191993
2020年4月第4週,-40.877423147
2020年4月第5週,-52.339920060
2020年5月第1週,-62.152400322
2020年5月第2週,-38.473318601
2020年5月第3週,-35.691271045
2020年5月第4週,-31.527379833
2020年6月第1週,-42.431674441
2020年6月第2週,-40.068244682
2020年6月第3週,-23.139935505
2020年6月第4週,-20.634373928
2020年7月第1週,-15.349896560
2020年7月第2週,-21.797421325
2020年7月第3週,-13.832667504
2020年7月第4週,-19.507463875
2020年7月第5週,-17.443660133
2020年8月第1週,-19.858160423
2020年8月第2週,-22.980014724
2020年8月第3週,-18.095874836
2020年8月第4週,-16.436933426
2020年9月第1週,-17.389456395
2020年9月第2週,-19.169451444
2020年9月第3週,-10.274854547
2020年9月第4週,-14.880251194
2020年10月第1週,-12.693601925
2020年10月第2週,-12.232238891
2020年10月第3週,-11.458058406
2020年10月第4週,-9.759788153
2020年10月第5週,-13.608679185
2020年11月第1週,-12.955738553
2020年11月第2週,-11.557043897
2020年11月第3週,-10.126595295
2020年11月第4週,-15.371678470
2020年12月第1週,-13.694859892
2020年12月第2週,-15.175336250
2020年12月第3週,-15.312320132
2020年12月第4週,-16.175168506
2020年12月第5週,-25.335993576
2021年1月第1週,-18.817694126
2021年1月第2週,-25.184290672
2021年1月第3週,-20.673195419
2021年1月第4週,-22.165918851
2021年2月第1週,-19.875481455
2021年2月第2週,-22.404420622
2021年2月第3週,-15.990313931
2021年2月第4週,-21.200503973
2021年3月第1週,-16.457093002
2021年3月第2週,-14.106788920
2021年3月第3週,-15.001309864
2021年3月第4週,-11.038767749
2021年4月第1週,-14.063777305
2021年4月第2週,-11.106994573
2021年4月第3週,-13.999922986
2021年4月第4週,-16.083836145
2021年4月第5週,-23.136174522
2021年5月第1週,-29.408626518
2021年5月第2週,-17.429440711
2021年5月第3週,-23.892197836
2021年5月第4週,-22.727116450
2021年6月第1週,-22.208335359
2021年6月第2週,-21.126878624
2021年6月第3週,-21.401807538
2021年6月第4週,-19.091999757
2021年7月第1週,-19.422384488
2021年7月第2週,-12.723994403
2021年7月第3週,-14.454389488
2021年7月第4週,-7.914117589
2021年7月第5週,-11.346128854
2021年8月第1週,-13.369323463
2021年8月第2週,-23.504537280
2021年8月第3週,-19.404402111
2021年8月第4週,-17.869825669
2021年9月第1週,-18.500024650
2021年9月第2週,-19.273556057
2021年9月第3週,-19.675622345
2021年9月第4週,-20.317927133
2021年9月第5週,-12.814973590
2021年10月第1週,-11.391179966
2021年10月第2週,-7.668352317
2021年10月第3週,-7.656467841
2021年10月第4週,-5.063319195
2021年11月第1週,-12.819686426
2021年11月第2週,-6.479571448
2021年11月第3週,-6.639638904
2021年11月第4週,-10.309478307
2021年12月第1週,-9.661137365
2021年12月第2週,-14.904958709
2021年12月第3週,-15.244045854
2021年12月第4週,-13.650105285
