順位,商品名,平均価格(税抜),市場シェア,リピート率,前回順位
1位,伊右衛門 525ml,71円,9%,27%,1位
2位,お～いお茶 濃い茶 525ml,75円,6%,32%,4位
3位,お～いお茶 緑茶 525ml,74円,6%,27%,2位
4位,綾鷹 525ml,73円,6%,25%,6位
5位,GREEN DAKARA やさしい麦茶 650ml,71円,5%,27%,3位
6位,健康ミネラルむぎ茶 650ml,74円,5%,28%,5位
7位,生茶 PET 525ml,69円,4%,27%,8位
8位,クラフトボス 抹茶ラテ 500ml,97円,4%,22%,7位
9位,健康ミネラルむぎ茶 2L,128円,4%,35%,9位
10位,GREEN DAKARA やさしい麦茶 2L,122円,3%,34%,11位
11位,綾鷹 ペコらくボトル 2L,125円,3%,33%,14位
12位,お～いお茶 濃い茶 2L,138円,3%,43%,13位
13位,伊右衛門 濃い味 600ml,71円,2%,29%,17位
14位,伊右衛門 緑茶 PET 2L,127円,2%,32%,12位
15位,生茶 2L,120円,2%,32%,15位
16位,綾鷹カフェ 抹茶ラテ 440ml,105円,2%,21%,10位
17位,やかんの麦茶 from 一 650ml,71円,2%,25%,16位
18位,綾鷹 茶葉のあまみ 2L,116円,2%,31%,19位
19位,お～いお茶 緑茶 2L,135円,2%,34%,18位
20位,綾鷹 茶葉のあまみ 525ml,70円,2%,23%,20位
21位,伊右衛門 特茶 500ml,167円,2%,31%,22位
22位,生茶 ほうじ煎茶 525ml,69円,2%,22%,21位
23位,お～いお茶 ほうじ茶 525ml,71円,1%,24%,23位
24位,伊右衛門 焙じ茶 525ml,71円,1%,21%,25位
25位,綾鷹 ほうじ茶 525ml,72円,1%,22%,26位
26位,2つの働き カテキン緑茶 500ml,121円,1%,29%,34位
27位,やかんの麦茶 from 一 2L,111円,1%,29%,24位
28位,伊右衛門プラス コレステロール対策 ペット 500ml,158円,1%,32%,27位
29位,生茶 ライフプラス 免疫アシスト 525ml,96円,1%,16%,41位
30位,伊右衛門プラス おいしい糖質対策 500ml,138円,1%,30%,31位
31位,お～いお茶 炒りたての香り玄米茶 525ml,72円,1%,24%,30位
32位,健康ミネラルむぎ茶 600ml,73円,1%,17%,28位
33位,十六茶 麦茶 660ml,68円,1%,31%,29位
34位,綾鷹 ほうじ茶 2000ml,114円,1%,34%,32位
35位,十六茶 麦茶 2L,117円,1%,31%,33位
36位,綾鷹 ペコらくボトル 2L×6,643円,0%,34%,42位
37位,ヘルシア 緑茶 スリムボトル 350ml,156円,0%,31%,35位
38位,お～いお茶 緑茶 レンジ対応 345ml,81円,0%,20%,46位
39位,あなたのお茶 PET 500ml,59円,0%,31%,37位
40位,綾鷹 PET 300ml,74円,0%,21%,39位
